run,Episode Length,loss,exploration,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
613,5002,0.0007452819345511671,0.4667098840157928,-16.693060183339135,5.141925280634643,4.0440000000000005,52.45499181669394,288,13.501483679525222,86.49851632047478,0.0
614,5002,0.0005586891620765527,0.4661328766548747,-20.695203712403075,4.273524349052167,3.7439999999999998,49.345335515548285,368,7.6923076923076925,91.98717948717949,0.16025641025641024
615,5002,0.00039397360500720426,0.46555659039070185,-20.317933797532948,4.655059681673149,3.618,47.87234042553192,353,9.286898839137644,90.71310116086235,0.0
616,5002,0.000545150175865092,0.46498102432210603,-23.222179919135353,4.463585277922753,3.702,49.01800327332243,379,7.779578606158834,91.89627228525121,0.3241491085899514
617,5002,0.0005468224442291103,0.46440617754904584,-23.384011188506573,4.186253992755498,3.666,48.117839607201304,346,6.219312602291326,93.12602291325696,0.6546644844517185
618,5002,0.0004981560270005503,0.46383204917260423,-18.254880628817432,6.657977608308429,4.050000000000001,53.764320785597384,313,11.555555555555555,88.44444444444444,0.0
619,5002,0.0008009993578762078,0.46325863829498776,-22.06876197623038,4.939318843978863,3.786,49.754500818330605,337,6.9730586370839935,92.86846275752774,0.0
620,5002,0.0006429577842240179,0.46268594401952484,-26.35982350411243,3.4325447891385688,3.642,48.3633387888707,404,3.2948929159802307,96.70510708401977,0.0
621,5002,0.0003361869061241123,0.4621139654506646,-21.959987208325007,3.637940775494619,3.8760000000000003,50.98199672667758,365,8.359133126934983,91.64086687306502,0.0
622,5002,0.0004966242330960085,0.46154270169397515,-24.71350660383471,3.91286159785039,3.588,46.64484451718494,414,7.357859531772576,92.64214046822742,0.0
623,5002,0.0002882435442059432,0.46097215185614276,-23.6833681355385,4.2886576867124075,3.4979999999999998,45.99018003273322,401,9.777015437392796,89.5368782161235,0.5145797598627788
624,5002,0.00023548424630744194,0.4604023150449697,-20.23056765276995,3.8050405729813987,3.8160000000000003,50.40916530278232,316,8.018867924528301,91.35220125786164,0.628930817610063
625,5002,0.0007098042804178477,0.4598331903693735,-25.529230643830463,3.966691991839649,3.738,49.18166939443535,389,6.5810593900481535,93.09791332263242,0.32102728731942215
626,5002,0.0007676559283489951,0.4592647769393851,-25.142838230650803,3.95953923960034,3.648,48.44517184942717,358,3.7828947368421053,96.2171052631579,0.0
627,5002,0.0004434504712022317,0.4586970738661477,-21.665653440352493,3.367097312857646,3.696,48.93617021276596,361,11.03896103896104,88.96103896103897,0.0
628,5002,0.0007301702815282624,0.45813008026191554,-16.647955520575117,4.506451202318261,3.948,52.700490998363335,271,4.711246200607903,95.13677811550151,0.1519756838905775
629,5002,0.000557463560684937,0.457563795240052,-20.663828311344407,4.222258571059487,3.9719999999999995,52.94599018003273,299,5.8912386706948645,93.95770392749245,0.1510574018126888
630,5002,0.0002855149869750676,0.45699821791502854,-22.296260382761666,5.697615717284945,3.726,48.199672667757774,377,8.695652173913043,91.14331723027375,0.0
631,5002,0.0004632959479335113,0.45643334740242353,-23.887426959629675,4.0470091985334555,3.5820000000000003,47.217675941080195,357,5.360134003350084,94.63986599664992,0.0
632,5002,0.00045429951506839643,0.4558691828189203,-23.454699367000924,3.749072029063792,3.636,47.54500818330605,411,7.755775577557755,90.92409240924091,1.155115511551155
633,5002,0.0005610489089556722,0.45530572328230634,-21.609447854398063,4.535314959302366,3.9179999999999997,51.800327332242226,371,14.39509954058193,85.45176110260337,0.1531393568147014
634,5002,0.0005703517384254155,0.4547429679114715,-25.49195778931133,4.488825286808282,3.888,51.227495908346974,367,8.333333333333332,91.51234567901234,0.15432098765432098
635,5002,0.0009188716458320414,0.4541809158264068,-18.664645699124065,5.185516759285462,4.098,54.00981996726678,331,6.734992679355783,93.26500732064422,0.0
636,5002,0.0007922771762199773,0.4536195661482031,-27.447767579504475,3.54306402509458,3.5820000000000003,46.9721767594108,389,5.192629815745393,94.63986599664992,0.0
637,5002,2.7010772756739244e-05,0.45305891799904946,-26.6384510142399,3.958814406830194,3.5940000000000003,48.117839607201304,405,4.006677796327212,95.99332220367279,0.0
638,5002,0.0005287383434049843,0.45249897050223226,-22.08948704966496,5.39790646872576,3.804,50.327332242225864,355,9.46372239747634,90.06309148264984,0.47318611987381703
639,5002,0.0003625629084048342,0.4519397227821331,-19.54677257955084,3.2807248359461516,3.7620000000000005,49.83633387888707,307,11.323763955342903,88.51674641148325,0.1594896331738437
640,5002,0.000808110127935106,0.4513811739642284,-19.721339926108744,5.291645040556558,3.87,50.736497545008184,304,6.046511627906977,93.64341085271319,0.15503875968992248
641,5002,0.0005326951521687079,0.45082332317508694,-23.63118400981392,4.010922598406926,3.81,49.59083469721768,355,9.606299212598426,90.39370078740157,0.0
642,5002,0.0004667817816045499,0.4502661695423695,-20.99482633781855,3.22759779561399,3.5820000000000003,47.54500818330605,331,13.06532663316583,86.59966499162479,0.16750418760469013
643,5002,0.00046800072346786693,0.4497097121948267,-23.883776959799505,4.681142898019323,3.786,49.91816693944354,359,8.874801901743265,90.96671949286846,0.0
644,5002,0.00024729124344821684,0.44915395026229804,-24.31011957493989,4.106167447915089,3.7319999999999998,49.09983633387889,402,5.305466237942122,94.69453376205787,0.0
645,5002,0.00047213689312684435,0.4485988828757107,-20.91818704786553,3.8451251829843893,3.8220000000000005,50.245499181669395,343,10.518053375196232,89.32496075353218,0.0
646,5002,0.00024721701430771646,0.44804450916707783,-24.549172183875623,3.004362726598204,3.4259999999999997,45.744680851063826,385,7.005253940455342,92.46935201401051,0.5253940455341506
647,5002,0.0006462057396885939,0.44749082826949715,-26.061206335745453,3.8048642759570153,3.618,47.95417348608838,426,7.2968490878938645,92.53731343283582,0.16583747927031509
648,5002,0.00025682118183685814,0.44693783931715003,-20.006186231240623,5.013544898039038,3.96,52.209492635024546,313,11.515151515151516,88.03030303030303,0.45454545454545453
649,5002,0.0005922059094787983,0.44638554144529957,-24.15632768170092,3.322347470180261,3.54,46.48117839607202,402,8.305084745762711,90.84745762711864,0.847457627118644
650,5002,0.0006983350667288505,0.4458339337902899,-25.141710006502233,4.833816970389051,3.81,49.59083469721768,341,6.456692913385827,93.07086614173228,0.31496062992125984
651,5002,0.0005845966421852154,0.4452830154895443,-14.46695171485159,5.4392448418645944,4.314,57.446808510638306,230,7.510431154381085,91.51599443671766,0.8344923504867872
652,5002,0.0004795624687027157,0.4447327856815638,-26.623218271397487,4.96076764598764,3.6719999999999997,48.44517184942717,420,8.333333333333332,91.66666666666666,0.0
653,5002,0.00025434639048989993,0.4441832435059266,-20.624543678643214,4.49522593522162,3.948,52.209492635024546,290,5.927051671732523,94.07294832826749,0.0
654,5002,0.00048635500156133277,0.4436343881032857,-20.69891380263162,4.667388980197637,3.9360000000000004,51.6366612111293,343,8.079268292682928,90.09146341463415,1.8292682926829267
655,5002,0.0008233192027375481,0.44308621861536823,-21.94907098504058,3.616971156492113,3.714,49.50900163666121,387,5.169628432956381,94.83037156704361,0.0
656,5002,0.00037023398550800266,0.44253873418497386,-30.388340772197793,3.758547115723317,3.504,45.99018003273322,461,6.164383561643835,93.66438356164383,0.17123287671232876
657,5002,0.0004304940625374002,0.44199193395597364,-22.980594813477946,3.776431408921021,3.5100000000000002,46.23567921440262,360,4.786324786324787,95.2136752136752,0.0
658,5002,0.0005562073487397356,0.44144581707330843,-24.847094492146176,4.413372213339027,3.696,48.44517184942717,411,10.714285714285714,89.12337662337663,0.16233766233766234
659,5002,0.0004897265291356235,0.44090038268298776,-21.042102772727606,5.372749013573633,3.9000000000000004,51.47299509001637,335,8.153846153846153,91.84615384615384,0.0
660,5002,0.32042555505055714,0.44035562993208827,-27.4810227002257,4.4904483722717075,3.696,48.3633387888707,424,7.142857142857142,92.6948051948052,0.16233766233766234
661,5002,0.00048644740729669137,0.43981155796875265,-17.444349668171704,5.595575731319133,3.948,52.04582651391162,311,12.917933130699089,86.47416413373861,0.60790273556231
662,5002,0.00014279506580314774,0.43926816594218815,-21.801933880795104,4.296174242728128,3.576,47.87234042553192,363,9.899328859060402,88.9261744966443,1.174496644295302
